Concentration,experiment,intensity_mz126_11,StN
10,a,26.22,4.37
10,a,36.12,6.02
10,a,17.76,2.96
10,a,25.08,4.18
10,a,25.98,4.33
10,a,21.42,3.57
10,a,37.8,6.3
10,a,29.94,4.99
10,a,32.76,5.46
10,a,32.16,5.36
10,a,17.94,2.99
10,a,43.62,7.27
10,b,102.84,17.14
10,b,29.52,4.92
10,b,18,3
10,b,73.26,12.21
10,b,35.7,5.95
10,b,77.82,12.97
10,b,33.84,5.64
10,b,18.9,3.15
10,b,32.46,5.41
10,b,38.22,6.37
10,b,23.4,3.9
10,b,35.94,5.99
10,c,17.7,2.95
10,c,197.88,32.98
10,c,21.24,3.54
10,c,22.8,3.8
10,c,21.66,3.61
10,c,25.2,4.2
10,c,36.06,6.01
10,c,33.36,5.56
10,c,36.06,6.01
10,c,43.38,7.23
10,c,52.38,8.73
50,a,416,71.97
50,a,41,7.09
50,a,84,14.53
50,a,111,19.2
50,a,33,5.71
50,a,140,24.22
50,a,60,10.38
50,a,76,13.15
50,a,163,28.2
50,a,32,5.54
50,a,82,14.19
50,a,93,16.09
50,b,72,12.46
50,b,83,14.36
50,b,94,16.26
50,b,60,10.38
50,b,49,8.48
50,b,109,18.86
50,b,74,12.8
50,b,49,8.48
50,b,207,35.81
50,b,71,12.28
50,b,133,23.01
50,b,61,10.55
50,c,140,24.22
50,c,72,12.46
50,c,80,13.84
50,c,158,27.34
50,c,92,15.92
50,c,175,30.28
50,c,178,30.8
50,c,147,25.43
50,c,181,31.31
50,c,239,41.35
50,c,138,23.88
50,c,71,12.28
100,a,433,117.66
100,a,178,48.37
100,a,283,76.9
100,a,206,55.98
100,a,187,50.82
100,a,215,58.42
100,a,183,49.73
100,a,287,77.99
100,a,151,41.03
100,a,267,72.55
100,a,198,53.8
100,a,114,30.98
100,b,62,16.85
100,b,74,20.11
100,b,85,23.1
100,b,105,28.53
100,b,134,36.41
100,b,57,15.49
100,b,195,52.99
100,b,227,61.68
100,b,338,91.85
100,b,322,87.5
100,b,236,64.13
100,b,127,34.51
100,c,92,25
100,c,165,44.84
100,c,117,31.79
100,c,73,19.84
100,c,196,53.26
100,c,211,57.34
100,c,171,46.47
100,c,356,96.74
100,c,89,24.18
100,c,197,53.53
100,c,613,166.58
100,c,415,112.77
500,a,1355,234.02
500,a,2848,491.88
500,a,1668,288.08
500,a,1497,258.55
500,a,1205,208.12
500,a,2141,369.78
500,a,976,168.57
500,a,10944,1890.16
500,a,1539,265.8
500,a,1210,208.98
500,a,809,139.72
500,a,857,148.01
500,b,990,170.98
500,b,965,166.67
500,b,893,154.23
500,b,1273,219.86
500,b,1288,222.45
500,b,856,147.84
500,b,1351,233.33
500,b,1148,198.27
500,b,1035,178.76
500,b,876,151.3
500,b,1269,219.17
500,b,2654,458.38
500,c,717,123.83
500,c,656,113.3
500,c,923,159.41
500,c,1242,214.51
500,c,1169,201.9
500,c,4062,701.55
500,c,843,145.6
500,c,1522,262.87
500,c,1463,252.68
500,c,1517,262
500,c,2577,445.08
500,c,1513,261.31
